ID	experiment	individual_or_nest	treatment	manip_after_first_cap	manip_before_first_cap	description	first_year	last_year	major_effect	kelly_excludes	treatment_notes
636	Color_Stressor	Individual	Mate_Control_Tape				2018	2018			From Access db encounter table 2013-2023.
637	Color_Stressor	Individual	Mate_Dull_Control				2018	2018			From Access db encounter table 2013-2023.
638	Color_Stressor	Individual	Mate_Dull_Predator				2018	2018			From Access db encounter table 2013-2023.
639	Color_Stressor	Individual	Mate_Dull_Tape				2018	2018			From Access db encounter table 2013-2023.
640	Color_Stressor	Individual	None				2018	2018			From Access db encounter table 2013-2023.
641	Color_Stressor	Individual	Predator_Dull				2018	2019			From Access db encounter table 2013-2023.
642	DEX_ACTH_Validation	Individual	ACTH_Control			Given single injection of saline to look at effect on timecourse. Minimal.	2018	2018			From Access db encounter table 2013-2023.
643	DEX_ACTH_Validation	Individual	ACTH_Treatment			Given single dose of ACTH to look at effect. Minimal.	2018	2018			From Access db encounter table 2013-2023.
644	DEX_ACTH_Validation	Individual	DEX_Control				2018	2018			From Access db encounter table 2013-2023.
645	DEX_ACTH_Validation	Individual	DEX_Treatment				2018	2018			From Access db encounter table 2013-2023.
646	Stressor	Nest	Brain_Collection				2018	2018			From Access db nest table 2013-2023.
647	Stressor	Individual	Mate_Brain_Collection				2018	2018			From Access db encounter table 2013-2023.
648	Stressor	Nest					2018	2018			From Access db nest table 2013-2023.
649	Tag	Individual	Tag				2018	2018			From Access db encounter table 2013-2023.
650		Nest	Dull_Control				2018	2018			From Access db nest table 2013-2023.
651	Color_Stress	Nest	Cont_Con				2019	2019			From Access db nest table 2013-2023.
652	Color_Stress	Nest	Cont_Dul				2019	2019			From Access db nest table 2013-2023.
653	Color_Stress	Nest	Pred_Con				2019	2019			From Access db nest table 2013-2023.
654	Color_Stress	Nest	Pred_Dul				2019	2019			From Access db nest table 2013-2023.
655	Color_Stressor	Individual	Control_Dull				2019	2019			From Access db encounter table 2013-2023.
656	Color_Stressor	Individual	Mate_Control_Dull				2019	2019			From Access db encounter table 2013-2023.
657	Color_Stressor	Individual	Mate_Predator_Control				2019	2019			From Access db encounter table 2013-2023.
658	Color_Stressor	Individual	Mate_Predator_Dull				2019	2019			From Access db encounter table 2013-2023.
659	Color_Stressor	Individual	Predator_Control				2019	2019			From Access db encounter table 2013-2023.
660	Light	Individual	Light				2019	2019			From Access db encounter table 2013-2023.
661	Light	Nest	Light				2019	2019			From Access db nest table 2013-2023.
662	Light	Individual	Light_Control				2019	2019			From Access db encounter table 2013-2023.
663	Light	Nest	Light_Control				2019	2019			From Access db nest table 2013-2023.
664	Light	Individual	Mate_Light				2019	2019			From Access db encounter table 2013-2023.
665	Light	Individual	Mate_Light_Control				2019	2019			From Access db encounter table 2013-2023.
666	Antibiotic	Individual	oral_antibiotic				2020	2020			From Access db encounter table 2013-2023.
667	Antibiotic	Individual	oral_control				2020	2020			From Access db encounter table 2013-2023.
668	Antibiotic	Individual	transdermal_antibiotic			Transdermal antibiotics were applied to alter microbiome.	2020	2020		Yes	From Access db encounter table 2013-2023.
669	Antibiotic	Individual	transdermal_control				2020	2020			From Access db encounter table 2013-2023.
670	Antibiotic	Nest					2020	2020			From Access db nest table 2013-2023.
671	CortDose	Individual	Control				2020	2020			From Access db encounter table 2013-2023.
672	CortDose	Nest	Control				2020	2020			From Access db nest table 2013-2023.
673	CortDose	Individual	Cort				2020	2020			From Access db encounter table 2013-2023.
674	CortDose	Nest	Cort				2020	2020			From Access db nest table 2013-2023.
675	CortDose	Individual	Mate_Control				2020	2020			From Access db encounter table 2013-2023.
676	CortDose	Individual	Mate_Cort				2020	2020			From Access db encounter table 2013-2023.
677	CortMovement	Individual	Control				2020	2020			From Access db encounter table 2013-2023.
678	CortMovement	Nest	Control				2020	2020			From Access db nest table 2013-2023.
679	CortMovement	Individual	Cort				2020	2020			From Access db encounter table 2013-2023.
680	CortMovement	Nest	Cort				2020	2020			From Access db nest table 2013-2023.
681	CortMovement	Individual	Mate_Control				2020	2020			From Access db encounter table 2013-2023.
682	CortMovement	Individual	Mate_Cort				2020	2020			From Access db encounter table 2013-2023.
683	Validation	Individual	BCA				2020	2020			From Access db encounter table 2013-2023.
684	Validation	Individual	BCC				2020	2020			From Access db encounter table 2013-2023.
685	Validation	Individual	BDA				2020	2020			From Access db encounter table 2013-2023.
686	Validation	Individual	BDC				2020	2020			From Access db encounter table 2013-2023.
687	Carryover	Individual	Cold_Control				2021	2021			From Access db encounter table 2013-2023.
688	Carryover	Individual	Prev_Control				2021	2021			From Access db encounter table 2013-2023.
689	Carryover	Nest	Prev_Control				2021	2021			From Access db nest table 2013-2023.
690	Carryover	Individual	Prev_Cort				2021	2021			From Access db encounter table 2013-2023.
691	Carryover	Nest	Prev_Cort				2021	2021			From Access db nest table 2013-2023.
692	Cold_Snap	Individual	Cold_Cold				2021	2021			From Access db encounter table 2013-2023.
693	Cold_Snap	Nest	Cold_Cold				2021	2021			From Access db nest table 2013-2023.
694	Cold_Snap	Individual	Cold_Control				2021	2021			From Access db encounter table 2013-2023.
695	Cold_Snap	Nest	Cold_Control				2021	2021			From Access db nest table 2013-2023.
696	Cold_Snap	Nest					2021	2021			From Access db nest table 2013-2023.
697	Long_Control	Nest	None				2021	2021			From Access db nest table 2013-2023.
698	LongControl	Individual	Control				2021	2021			From Access db encounter table 2013-2023.
699	LongControl	Individual	None				2021	2021			From Access db encounter table 2013-2023.
700	LongControl	Individual	Prev_Cort				2021	2021			From Access db encounter table 2013-2023.
701	NSF_Carryover	Individual	Cold				2022	2024			From Access db encounter table 2013-2023.
702	NSF_Carryover	Nest	Cold				2022	2024			From Access db nest table 2013-2023.
703	NSF_Carryover	Individual	Control				2022	2024			From Access db encounter table 2013-2023.
704	NSF_Carryover	Nest	Control				2022	2024			From Access db nest table 2013-2023.
705	NSF_Carryover	Individual	Cort				2022	2024			From Access db encounter table 2013-2023.
706	NSF_Carryover	Nest	Cort				2022	2024			From Access db nest table 2013-2023.
707	cort_time_validation	Individual	Control				2023	2023			From Access db encounter table 2013-2023.
708	cort_time_validation	Nest	Control				2023	2023			From Access db nest table 2013-2023.
709	cort_time_validation	Individual	Cort				2023	2023		Yes	From Access db encounter table 2013-2023.
710	cort_time_validation	Nest	Cort				2023	2023			From Access db nest table 2013-2023.
711	NSF_Carryover	Individual	Year2				2023	2025			From Access db encounter table 2013-2023.
712	NSF_Carryover	Nest	Year2				2023	2025			From Access db nest table 2013-2023.
